Website,Tier,Keep Reason,Risk Level,Risk Note
albaoptics.cc,A,Niche cycling eyewear brand with focused catalog,Low,May still have wider EU distribution than expected
barzoptics.com,A,Fishing/watersport niche with likely SMB footprint,Low,Could be seasonal demand swings
beyondcoastal.com,A,Polarized fishing/sport focus suggests niche DTC audience,Medium,Brand scale visibility limited from homepage signals
carve.com.au,B,Regional eyewear brand likely mid-size not global giant,Medium,Potentially larger ANZ retail footprint
coolchange.com,B,China-origin sports accessories with eyewear overlap and B2B potential,Medium,May be mixed model not pure DTC
corneakauai.com,A,Small niche sunglasses positioning and limited product scope,Low,Local brand may have limited B2B openness
dzoptics.com,A,Cycling eyewear niche and smaller brand signals,Low,Need verify stable contact responsiveness
fuse-lenses.com,A,Replacement lens niche often SMB and partnership-friendly,Low,Not full-frame brand; accessory-led
heatwavevisual.com,B,Action/safety eyewear focus with DTC signals,Medium,Could be above target order band
kamikazeeyewear.com,A,Niche sports eyewear branding likely SMB,Low,Need verify active operations and stock
liquid-eyewear.com,A,Water/outdoor eyewear niche and focused catalog,Low,Potentially small team bandwidth
liivevision.com.au,B,Regional performance eyewear with SMB-to-mid signals,Medium,Could have broader wholesale network
melonoptics.com,B,Sports-oriented brand with direct storefront,Medium,May exceed 300/day during peaks
ombraz.com,B,Strong DTC and premium positioning but possibly scaling fast,High,May be too premium/large for target
opticnerve.com,B,Established niche eyewear player with sport categories,Medium,Could be older brand with larger distribution
queshark.com,B,China sports eyewear candidate with distributor potential,Medium,Potential marketplace overlap to screen
recspecs.com,A,Protective sport eyewear specialty and focused audience,Low,Niche medical/sport overlap segment
revantoptics.com,A,Replacement lens brand with partner/OEM adjacency,Low,May not buy full frames regularly
scvcn.com,B,China distributor-style candidate relevant for B2B,Medium,Need verify legitimacy and business scope
seekoptics.com,A,Small replacement lens operation with direct contacts,Low,Accessory-led demand profile
sinner.eu,B,EU sports eyewear brand likely mid-tier,Medium,Could be larger wholesale footprint
sporteyes.com,A,Sports eyewear specialist retailer/brand candidate,Low,May operate more as retailer than brand
sportsexpert.com.cn,B,China sports channel candidate for distribution,Medium,Need verify eyewear category depth
svencansee.com,A,Smaller brand cues and niche product story,Low,Brand awareness may be limited
tifosioptics.com,B,Well-known cycling eyewear but still below mega-brand tier,High,Could be above 300/day on average
tripoint.com,A,Performance eyewear with niche footprint and likely SMB scale,Low,Need verify supplier openness
waterhaul.co,A,Sustainability niche eyewear likely SMB direct model,Low,May have lower volume than target band
7eye.com,B,Specialized protective/performance eyewear likely mid-size,Medium,Could be distribution-heavy not pure DTC
